date,NO2
2025-09-22,0.00011223893297938048
2025-09-23,0.00011223893297938048
2025-09-24,0.00020184299058667888
2025-09-25,7.275966188523131e-05
2025-09-26,4.293395527383836e-05
2025-09-27,3.366307290728882e-05
2025-09-28,2.5916083563301715e-05
2025-09-29,3.803084979527063e-05
2025-09-30,4.720155739905905e-05
2025-10-01,5.637226500284747e-05
2025-10-02,6.554297260663589e-05
2025-10-03,3.976870116543176e-05
2025-10-04,6.967702361180273e-05
2025-10-05,3.886969129130843e-05
2025-10-06,5.052869046802003e-05
2025-10-07,8.115848322631791e-05
2025-10-08,6.310884932377924e-05
2025-10-09,0.0001191313998788246
2025-10-10,9.649528799808392e-05
2025-10-11,5.259134146539369e-05
2025-10-12,2.237381520651318e-05
2025-10-13,1.1076656240523638e-05
2025-10-14,4.0774363355922105e-05
2025-10-15,3.2861555674961505e-05
2025-10-16,4.828336633571391e-05
2025-10-17,4.620927346102825e-05
2025-10-18,3.4645028169203824e-05
2025-10-19,3.278930719261552e-05
2025-10-20,4.432730953567443e-05
2025-10-21,5.586531187873334e-05
